ID;Stop_number;UIC;Arrival_time;Arrival_offset;Departure_time;Departure_offset;Platform_arrival;Platform_departure;Stop_property;Traffic_restriction;Distance;Loading_vehicles;Unloading_vehicles;check_out;check_in
1;1;007602361;;;0900;;;4;;1;;;;;
1;2;007612360;0903;;0903;;1;1;;;;;;;
1;3;007602360;0906;;0906;;1;1;;;;;;;
1;4;007602359;0918;;0918;;1;1;;;;;;;
1;5;007642358;0922;;0922;;1;1;;;;;;;
1;6;007622358;0930;;0931;;1;1;;;;;;;
1;7;007612358;0936;;0936;;1;1;;;;;;;
1;8;007602358;0939;;0940;;1;1;;;;;;;
1;9;007602324;0944;;;;11;;;2;;;;;
2;1;007602324;;;1015;;;11;;1;;;;;
2;2;007602358;1018;;1018;;1;1;;;;;;;
2;3;007612358;1021;;1021;;1;1;;;;;;;
2;4;007622358;1026;;1027;;1;1;;;;;;;
2;5;007642358;1036;;1036;;1;1;;;;;;;
2;6;007602359;1041;;1041;;1;1;;;;;;;
2;7;007602360;1055;;1055;;1;1;;;;;;;
2;8;007612360;1059;;1059;;1;1;;;;;;;
2;9;007602361;1105;;;;4;;;2;;;;;
3;1;007602361;;;1145;;;4;;1;;;;;
3;2;007612360;1148;;1148;;1;1;;;;;;;
3;3;007602360;1151;;1151;;1;1;;;;;;;
3;4;007602359;1203;;1203;;1;1;;;;;;;
3;5;007642358;1207;;1207;;1;1;;;;;;;
3;6;007622358;1214;;1215;;1;1;;;;;;;
3;7;007612358;1220;;1220;;1;1;;;;;;;
3;8;007602358;1223;;1224;;1;1;;;;;;;
3;9;007602324;1228;;;;11;;;2;;;;;
4;1;007602324;;;1315;;;11;;1;;;;;
4;2;007602358;1318;;1318;;1;1;;;;;;;
4;3;007612358;1320;;1320;;1;1;;;;;;;
4;4;007622358;1325;;1326;;1;1;;;;;;;
4;5;007642358;1335;;1335;;1;1;;;;;;;
4;6;007602359;1341;;1341;;1;1;;;;;;;
4;7;007602360;1355;;1355;;1;1;;;;;;;
4;8;007612360;1359;;1359;;1;1;;;;;;;
4;9;007602361;1405;;;;4;;;2;;;;;
5;1;007602361;;;1430;;;4;;1;;;;;
5;2;007612360;1433;;1433;;1;1;;;;;;;
5;3;007602360;1436;;1436;;1;1;;;;;;;
5;4;007602359;1448;;1448;;1;1;;;;;;;
5;5;007642358;1452;;1452;;1;1;;;;;;;
5;6;007622358;1500;;1501;;1;1;;;;;;;
5;7;007612358;1506;;1506;;1;1;;;;;;;
5;8;007602358;1509;;1510;;1;1;;;;;;;
5;9;007602324;1514;;;;11;;;2;;;;;
6;1;007602324;;;1539;;;11;;1;;;;;
6;2;007602358;1542;;1542;;1;1;;;;;;;
6;3;007612358;1544;;1544;;1;1;;;;;;;
6;4;007622358;1549;;1550;;1;1;;;;;;;
6;5;007642358;1559;;1559;;1;1;;;;;;;
6;6;007602359;1604;;1604;;1;1;;;;;;;
6;7;007602360;1618;;1618;;1;1;;;;;;;
6;8;007612360;1621;;1621;;1;1;;;;;;;
6;9;007602361;1625;;;;4;;;2;;;;;
7;1;007602361;;;1650;;;4;;1;;;;;
