ID;Service_number;Reservation;Tariff;Service_Mode;Service_Name;Service_Provider;not_used;Reservation_system;First_day;Last_day;Operation_days;Second_service_number
1;1880;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
2;1881;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
3;1882;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
4;1883;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
5;1884;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
6;1885;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
7;1886;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
8;1887;;;37;;1076;;92;2024-12-05;2024-12-14;1010111101;
9;1889;;;37;;1076;;92;2024-12-06;2024-12-13;10100001;
10;200;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
11;202;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
12;203;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
13;204;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
14;205;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
15;206;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
16;207;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
17;208;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
18;208;;;37;;1076;;92;2024-12-07;2024-12-14;11000001;
19;209;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
20;210;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
21;211;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
22;212;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
23;213;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
24;214;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
25;215;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
26;216;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
27;217;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
28;218;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
29;219;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
30;220;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
31;221;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
32;222;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
33;223;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
34;224;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
35;224;;;37;;1076;;92;2024-12-07;2024-12-14;11000001;
36;225;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
37;226;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
38;227;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
39;228;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
40;228;;;37;;1076;;92;2024-12-07;2024-12-14;11000001;
41;229;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
42;230;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
43;231;;;37;;1076;;92;2024-12-04;2024-12-14;11110111111;
44;231;;;37;;1076;;92;2024-12-08;2024-12-08;1;
45;232;;;37;;1076;;92;2024-12-05;2024-12-14;1111111111;
46;233;;;37;;1076;;92;2024-12-04;2024-12-13;1111111111;
47;299;;;37;;1076;;92;2024-12-14;2024-12-14;1;
48;240;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
49;241;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
50;242;;;37;;1076;;92;2024-12-05;2024-12-13;111111111;
51;242;;;37;;1076;;92;2024-12-14;2024-12-14;1;
52;243;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
53;243;;;37;;1076;;92;2024-12-07;2024-12-08;11;
54;243;;;37;;1076;;92;2024-12-14;2024-12-14;1;
55;244;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
56;245;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
57;246;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
58;247;;;37;;1076;;92;2024-12-05;2024-12-13;111111111;
59;247;;;37;;1076;;92;2024-12-14;2024-12-14;1;
60;248;;;37;;1076;;92;2024-12-07;2024-12-08;11;
61;248;;;37;;1076;;92;2024-12-14;2024-12-14;1;
62;249;;;37;;1076;;92;2024-12-05;2024-12-13;111111111;
63;249;;;37;;1076;;92;2024-12-14;2024-12-14;1;
64;250;;;37;;1076;;92;2024-12-05;2024-12-12;10011111;
65;250;;;37;;1076;;92;2024-12-06;2024-12-13;11000001;
66;250;;;37;;1076;;92;2024-12-14;2024-12-14;1;
67;251;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
68;252;;;37;;1076;;92;2024-12-05;2024-12-13;111111111;
69;252;;;37;;1076;;92;2024-12-14;2024-12-14;1;
70;253;;;37;;1076;;92;2024-12-05;2024-12-13;111111111;
71;253;;;37;;1076;;92;2024-12-14;2024-12-14;1;
72;270;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
73;271;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
74;272;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
75;272;;;37;;1076;;92;2024-12-07;2024-12-08;11;
76;272;;;37;;1076;;92;2024-12-14;2024-12-14;1;
77;273;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
78;274;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
79;275;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
80;275;;;37;;1076;;92;2024-12-07;2024-12-08;11;
81;275;;;37;;1076;;92;2024-12-14;2024-12-14;1;
82;276;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
83;276;;;37;;1076;;92;2024-12-07;2024-12-08;11;
84;276;;;37;;1076;;92;2024-12-14;2024-12-14;1;
85;277;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
86;278;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
87;279;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
88;279;;;37;;1076;;92;2024-12-07;2024-12-08;11;
89;279;;;37;;1076;;92;2024-12-14;2024-12-14;1;
90;280;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
91;280;;;37;;1076;;92;2024-12-07;2024-12-08;11;
92;280;;;37;;1076;;92;2024-12-14;2024-12-14;1;
93;281;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
94;282;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
95;283;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
